,ALA,CEA,CWP,NEA,NEF,NPL,NWP,SEA,SPL,SWP,CAN,USA,USC
1972 May,-0.25,1.57,0.59,0.27,1.31,0.58,1.42,1.47,0.84,0.06,1.59,1.62,1.78
1972 June,0.57,1.7,1.29,0.19,1.82,0.79,2.88,1.21,1.16,1.25,2.69,2.17,2.59
1972 July,-0.09,0.91,1.54,0.3,2.19,1.02,2.05,0.21,1.81,0.35,2.63,1.1,2.04
1972 August,0.89,0.4,1.13,0.49,2.13,0.82,0.84,-0.05,0.0,1.02,2.43,1.13,1.98
1972 September,-0.26,1.71,0.78,-0.02,1.82,0.84,0.69,0.43,0.18,0.23,1.83,1.16,1.79
1972 October,-1.17,0.25,-0.55,-0.57,1.25,-0.13,-1.1,0.82,1.08,1.46,0.34,0.35,0.45
1972 November,0.27,1.82,0.2,-0.08,1.7,-0.37,0.28,1.19,0.6,0.98,1.09,1.96,1.9
1972 December,-0.19,1.62,0.48,0.49,1.52,-0.8,0.35,0.79,0.29,1.4,1.03,1.39,1.42
1973 January,0.08,1.38,0.73,1.28,1.69,-0.02,1.07,1.76,0.93,0.41,1.77,1.59,1.82
1973 February,-0.13,1.36,0.11,-0.06,2.11,-0.1,0.05,1.68,0.87,1.0,1.13,1.19,1.21
1973 March,0.84,1.71,-0.14,-0.75,2.72,1.02,0.35,1.85,1.77,-0.15,2.12,1.73,2.01
1973 April,-0.24,0.83,-2.12,0.4,1.45,0.97,-2.31,1.79,1.42,-1.5,0.34,0.64,0.6
1973 May,0.72,1.28,-1.47,-0.36,1.54,0.58,-0.26,0.46,-0.06,-0.65,1.33,0.77,1.16
1973 June,0.72,0.1,-1.18,-0.68,1.54,0.65,-0.53,-0.2,0.56,-0.39,1.07,0.05,0.54
1973 July,0.12,1.03,-1.66,0.05,1.72,0.68,-0.89,0.36,-0.27,-0.83,0.94,0.2,0.61
1973 August,-0.17,0.85,-1.76,-0.45,2.02,0.19,-1.38,0.91,0.77,-1.13,1.11,0.45,0.86
1973 September,-0.2,0.71,-1.45,0.57,1.25,1.12,-1.14,1.15,0.96,-1.82,0.65,0.02,0.36
1973 October,-0.31,0.36,-0.87,0.44,0.92,0.64,-0.5,1.36,1.69,-1.48,0.6,0.51,0.72
1973 November,-1.18,-1.49,0.81,0.21,-0.38,1.99,0.17,0.66,1.2,-1.06,0.16,-1.04,-0.69
1973 December,0.29,0.1,1.41,-1.54,0.48,0.16,1.02,0.14,0.0,-0.83,0.85,0.34,0.57
1974 January,-0.86,1.64,0.19,-0.37,0.89,0.03,-0.06,0.66,0.83,-0.28,0.44,0.78,0.75
1974 February,0.06,0.62,-0.14,0.51,0.12,0.99,-0.06,0.83,-0.08,-1.2,0.16,0.25,0.24
1974 March,0.03,-0.81,1.16,0.07,0.77,0.83,1.5,-0.16,0.69,0.33,1.36,-0.11,0.42
1974 April,0.64,-0.41,0.83,-0.02,1.12,0.74,1.43,0.08,1.44,0.3,1.64,0.23,0.8
1974 May,0.6,0.26,0.01,0.06,2.25,0.47,1.51,0.97,1.27,0.25,2.42,0.96,1.87
1974 June,0.63,0.79,0.63,-1.34,2.45,0.72,1.52,1.32,0.52,0.77,2.59,1.45,2.11
1974 July,-0.01,0.67,1.24,-0.46,1.88,0.75,2.01,0.79,-0.06,0.07,2.32,0.82,1.71
1974 August,-0.69,-0.44,-0.75,-0.92,1.14,0.54,-0.14,0.61,-0.04,-0.71,0.97,-0.71,-0.06
1974 September,-0.69,0.18,-0.98,-1.19,0.81,0.13,-0.88,1.34,-0.05,-0.19,0.16,-0.06,0.04
1974 October,0.08,-1.7,-2.3,-1.32,-0.42,0.67,-1.81,0.29,0.87,-0.72,-1.39,-1.25,-1.71
1974 November,0.29,-0.51,-0.71,-0.52,1.03,1.07,-0.63,-0.53,0.43,-0.95,0.35,-0.66,-0.33
1974 December,0.96,0.83,-0.56,0.06,1.61,0.02,-0.15,-0.07,-0.27,-1.24,0.85,0.46,0.66
1975 January,-0.39,0.1,-0.76,-0.37,1.22,0.15,-1.08,0.29,0.73,-1.36,-0.06,-0.31,-0.26
1975 February,0.21,0.31,0.22,-0.06,-0.26,0.92,0.0,1.8,0.82,-0.67,-0.03,0.67,0.49
1975 March,-0.39,-0.02,-0.04,0.89,0.58,0.51,-0.21,0.75,1.27,-0.22,0.39,0.26,0.33
1975 April,-0.61,-0.76,-0.82,0.82,0.45,-0.03,-1.18,0.78,1.64,-0.25,-0.1,-0.41,-0.34
1975 May,-0.06,0.5,-1.36,0.48,0.43,0.63,-1.31,1.52,1.18,-1.24,0.12,0.68,0.45
1975 June,-0.69,0.46,-1.56,-0.24,0.72,0.72,-1.02,1.43,1.08,-0.94,0.24,0.39,0.35
1975 July,0.11,0.46,-0.54,-0.71,-0.28,1.02,0.21,2.1,0.92,-0.64,0.0,1.05,0.64
1975 August,-0.14,0.21,-1.11,-0.37,-0.16,0.96,-0.37,1.6,0.92,-1.49,-0.16,0.36,0.19
1975 September,-0.73,-0.04,-2.13,-0.02,-0.23,0.2,-2.22,1.52,1.2,-0.87,-1.15,-0.34,-0.85
1975 October,-0.16,1.16,1.08,0.44,0.04,0.71,1.08,0.27,0.05,-1.59,0.83,0.64,0.93
1975 November,-0.18,0.84,0.15,0.57,0.29,0.16,0.78,0.28,0.64,-1.47,0.67,0.35,0.55
1975 December,-0.63,0.95,-0.9,-0.96,0.59,-0.11,-0.83,1.18,0.34,-2.01,-0.24,0.15,0.02
1976 January,0.01,0.31,-0.7,-1.19,0.8,-0.02,-0.69,-0.76,-0.25,-1.45,-0.1,-0.56,-0.46
1976 February,0.15,-0.65,0.0,-0.49,0.6,-0.17,0.01,-1.25,-1.42,-0.54,0.28,-0.74,-0.47
1976 March,-0.17,-0.19,-0.73,1.05,1.18,-0.13,-0.62,-0.38,0.55,-1.05,0.54,-0.47,-0.14
1976 April,0.46,-0.4,0.16,0.12,1.99,-0.15,0.25,0.25,0.67,-0.36,1.73,-0.03,0.65
1976 May,1.22,-1.25,-0.22,-0.36,1.05,0.3,1.49,0.38,-0.36,0.21,1.33,-0.21,0.61
1976 June,0.22,-0.73,-0.67,-0.03,0.8,-0.5,0.2,1.01,0.9,0.29,0.66,0.17,0.42
1976 July,1.2,0.17,0.8,0.81,2.03,-0.19,2.41,-0.1,0.67,0.85,2.53,0.96,1.91
1976 August,0.51,-0.21,1.64,0.18,1.79,-0.44,2.71,-0.04,-0.33,-0.53,2.8,0.22,1.48
1976 September,0.6,-0.26,0.71,1.15,1.45,-0.09,1.8,-0.93,-1.18,0.51,1.97,-0.03,1.03
1976 October,-0.24,-0.08,-0.31,1.19,1.21,0.01,-0.09,-0.98,-1.16,0.56,1.02,-0.68,-0.18
1976 November,0.23,-1.79,-1.16,1.67,-0.12,0.45,-1.23,-1.49,-0.96,0.75,-0.62,-1.73,-1.53
1976 December,0.42,-1.91,-0.69,0.28,-0.57,-0.32,-0.25,-0.37,-0.89,1.11,-0.52,-1.03,-0.96
1977 January,0.02,-1.98,-1.15,-0.86,0.07,0.55,-1.11,-0.91,-0.03,0.25,-0.69,-1.41,-1.31
1977 February,1.4,-1.82,-0.69,0.89,-0.5,-0.71,0.0,-1.46,-0.69,-0.68,-0.31,-0.91,-0.76
1977 March,0.32,-0.84,-1.44,1.22,0.83,0.51,-0.68,-0.26,0.28,-1.59,0.35,-0.84,-0.47
1977 April,-0.34,-1.15,-2.02,0.4,0.26,-0.21,-1.55,-0.66,0.09,-1.84,-0.46,-1.6,-1.35
1977 May,0.18,-1.08,0.43,1.95,-0.13,0.25,0.76,0.45,0.84,-1.14,0.17,-0.35,-0.1
1977 June,0.11,0.09,-1.42,0.63,0.45,-0.72,-1.0,0.36,0.02,-0.87,-0.09,-0.12,-0.12
1977 July,0.39,-1.23,-1.77,0.68,-0.9,0.08,-0.89,-0.46,0.2,-1.11,-1.0,-1.07,-1.18
1977 August,0.07,-0.78,0.96,0.73,-0.6,0.75,0.55,0.3,0.81,-0.08,-0.08,-0.1,-0.11
1977 September,0.14,1.66,1.25,1.25,0.76,-0.66,0.65,0.92,0.51,-0.29,0.84,1.58,1.54
1977 October,0.97,0.18,0.45,0.44,2.11,-0.27,0.33,-0.88,-0.35,0.22,1.95,0.2,1.01
1977 November,0.07,0.29,0.15,-0.67,0.13,-0.55,0.21,0.61,-0.24,0.02,0.09,0.43,0.35
1977 December,-0.48,1.06,1.48,1.51,1.16,-0.04,0.97,0.04,0.07,0.94,1.38,0.85,1.14
1978 January,-0.01,0.51,1.15,-0.53,1.62,-1.18,1.07,-0.98,0.11,1.96,1.43,0.52,0.89
1978 February,0.84,1.71,0.97,2.21,1.23,-1.26,1.05,0.23,-0.07,1.27,1.33,1.37,1.41
1978 March,0.36,0.03,-0.18,0.72,-0.13,-0.89,0.07,-0.2,-0.99,1.77,-0.13,0.15,0.06
1978 April,-0.17,0.61,0.32,1.39,0.7,-0.8,0.6,0.14,-0.24,0.83,0.8,0.54,0.71
1978 May,0.14,0.67,-0.94,0.48,0.54,-0.9,-1.04,0.38,0.32,-0.04,0.1,0.48,0.32
1978 June,-1.09,-0.71,-0.69,0.19,0.18,-0.86,-1.62,-0.16,0.44,-1.51,-0.59,-1.08,-0.93
1978 July,-1.13,0.29,-0.9,0.56,0.01,-0.53,-1.36,0.4,-0.04,-0.98,-0.64,-0.52,-0.65
1978 August,-0.37,0.53,0.0,0.02,-0.54,0.12,0.18,-0.5,-0.25,-0.59,-0.36,-0.23,-0.34
1978 September,0.34,1.58,1.24,1.35,-0.28,-0.37,1.46,0.47,0.28,-0.61,0.47,1.34,1.18
1978 October,-0.07,0.07,-1.3,-0.32,-0.3,-0.69,-1.13,0.41,0.79,0.52,-1.07,0.2,-0.28
1978 November,-0.93,0.67,-1.75,-0.89,-1.52,-0.61,-1.62,1.2,0.7,0.06,-1.94,0.19,-0.71
1978 December,-0.78,-0.55,-1.88,0.64,-0.18,0.57,-1.86,-0.29,0.58,-0.5,-1.16,-1.07,-1.23
